Type,Polity,Iconic,Patronymic,Papponymic,Title,Divider,DividerType,Border,BorderType,Orientation,Material,Perforated,BelongingMark,FiliationMark
Seal,Israel,TRUE,FALSE,FALSE,TRUE,TRUE,Single-line,TRUE,Single-line,Horizontal,Stone,FALSE,TRUE,FALSE
Seal,Judah,TRUE,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Double-line,Vertical,Stone,TRUE,TRUE,FALSE
Seal,Judah,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,Single-line,Horizontal,Organic,TRUE,TRUE,TRUE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Stone,TRUE,TRUE,TRUE
Seal,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,Stone,TRUE,TRUE,FALSE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Stone,TRUE,TRUE,TRUE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Stone,TRUE,TRUE,TRUE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Double-line,Horizontal,Artifical,TRUE,TRUE,TRUE
Seal,Israel,TRUE,FALSE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Vertical,Stone,FALSE,TRUE,FALSE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Square,Stone,TRUE,TRUE,FALSE
Seal,Judah,FALSE,TRUE,TRUE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,Stone,TRUE,TRUE,TRUE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,Stone,TRUE,TRUE,UNKNOWN
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Stone,TRUE,TRUE,FALSE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Stone,TRUE,TRUE,FALSE
Seal,Israel,TRUE,FALSE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Vertical,Stone,FALSE,TRUE,FALSE
Seal,Judah,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Single-line,Square,Stone,TRUE,FALSE,FALSE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Stone,TRUE,FALSE,FALSE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Stone,TRUE,TRUE,FALSE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Elongated rectangle,UNKNOWN,UNKNOWN,Horizontal,Stone,TRUE,TRUE,TRUE
Seal,Israel,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,Horizontal,Stone,FALSE,TRUE,FALSE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Stone,TRUE,TRUE,FALSE
