Short reference,Type,Region,Iconic,Patronymic,Papponymic,Title,Divider,Divider type,Border,Border type,Orientation,Object shape,Material,Perforation,Yahwistic name,Yahwistic patronym,Elohistic name,Elohistic patronym,Belonging mark (lamed),Filiation mark (bn/bt),Provenance,Size range
WSS 150,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Jerusalem,[80-100]%
WSS 210,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Jerusalem,[80-100]%
WSS 52,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Beth Shemesh,[80-100]%
WSS 8,Tripartite,Judah,TRUE,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Double-line,Vertical,Scaraboid,Stone,TRUE,TRUE,,FALSE,,TRUE,,Tell en-Nasbeh,[80-100]%
WSS 350,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Lachish,[80-100]%
WSS 59,Exergual,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,Scarab,Stone,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Lachish,[80-100]%
WSS 385,Tripartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,Scaraboid,Stone,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Lachish,[80-100]%
WSS 293,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Polished pebble,Stone,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Beth Shemesh,[80-100]%
WSS 360,Bipartite,Judah,FALSE,,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,TRUE,,,,,TRUE,FALSE,Lachish,[80-100]%
Tufnell et al. 1953: Pl. 44A/45.168,Bipartite,Judah,TRUE,FALSE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,TRUE,,,,,,,Lachish,[80-100]%
