ShortReference,Type(s),Polity,Iconic,HasPatronymic,HasGrandFather,HasTitle,Gender,HasDivider,DividerType,HasBorder,BorderType,Orientation,Shape,Material,Perforated,YahwisticName,YahwisticFather,ElohisticName,ElohisticFather,BelongingMark,FiliationMark
WSS 0008,Seal,Judah,TRUE,FALSE,FALSE,TRUE,Male,TRUE,Double-line,TRUE,Double-line,Vertical,Scaraboid,Stone,TRUE,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,FALSE
WSS 0035,Seal,Judah,TRUE,TRUE,FALSE,FALSE,Female,FALSE,,TRUE,Single-line,Horizontal,Scaraboid,Organic,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
WSS 0052,Seal,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
WSS 0059,Seal,Judah,TRUE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,TRUE,Single-line,Vertical,Scarab,Stone,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WSS 0070,Seal,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
WSS 0071,Seal,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
WSS 0072,Seal,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Lotus-bud,TRUE,Double-line,Horizontal,Scaraboid,Artifical,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
WSS 0094,Seal,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,TRUE,Single-line,Square,Square plaque,Stone,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0111,Seal,Judah,FALSE,TRUE,TRUE,FALSE,Male,TRUE,Double-line,TRUE,Single-line,Vertical,Scaraboid,Stone,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0132,Seal,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Single-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,TRUE,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,UNKNOWN
WSS 0147,Seal,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
WSS 0150,Seal,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0172,Seal,Judah,FALSE,FALSE,FALSE,FALSE,Male,FALSE,,TRUE,Single-line,Square,Square stamp,Stone,TRUE,FALSE,UNKNOWN,FALSE,UNKNOWN,FALSE,FALSE
WSS 0210,Seal,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
WSS 0212,Seal,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0220,Seal,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Elongated rectangle,UNKNOWN,UNKNOWN,Horizontal,Eight-faceted flattened conoid,Stone,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0261,Seal,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
